nickName;name;frstSurname;scndSurname;email;password;birthDate;profileImg;role;location;gender;attendingEvents
daniel0;Daniel;Kowalski;Nowak;daniel0@mail.com;SeedPass1!;1988-01-01 0:00:00;;admin;Germany;female;Burning Man,NOS Alive
emma1;Emma;Schneider;Weber;emma1@mail.com;SeedPass1!;1988-03-31 0:00:00;;user;USA;other;Primavera Sound,Fuji Rock,Ultra Miami,Exit Festival,Open'er,Reading Festival
laura2;Laura;Fernández;Ruiz;laura2@mail.com;SeedPass1!;1988-06-29 0:00:00;;user;Germany;female;Primavera Sound,Fuji Rock,Sziget,Burning Man,Montreux Jazz,Reading Festival,Leeds Festival
laura3;Laura;Fernández;Ruiz;laura3@mail.com;SeedPass1!;1988-09-27 0:00:00;;user;France;other;Montreux Jazz
liam4;Liam;O'Connor;Murphy;liam4@mail.com;SeedPass1!;1988-12-26 0:00:00;;user;UK;other;Exit Festival,Montreux Jazz,Electric Zoo
mia5;Mia;Dubois;Lefevre;mia5@mail.com;SeedPass1!;1989-03-26 0:00:00;;user;USA;other;Fuji Rock,Electric Zoo,Reading Festival
ava6;Ava;Smith;Taylor;ava6@mail.com;SeedPass1!;1989-06-24 0:00:00;;user;UK;other;Sziget,Electric Zoo
laura7;Laura;Fernández;Ruiz;laura7@mail.com;SeedPass1!;1989-09-22 0:00:00;;user;Spain;other;
noah8;Noah;Johnson;Miller;noah8@mail.com;SeedPass1!;1989-12-21 0:00:00;;user;France;male;
laura9;Laura;Fernández;Ruiz;laura9@mail.com;SeedPass1!;1990-03-21 0:00:00;;user;USA;male;Ultra Miami,Burning Man,Exit Festival,Leeds Festival,Benicassim,Pitchfork Paris
mia10;Mia;Dubois;Lefevre;mia10@mail.com;SeedPass1!;1990-06-19 0:00:00;;user;UK;other;Awakenings,Reading Festival
mia11;Mia;Dubois;Lefevre;mia11@mail.com;SeedPass1!;1990-09-17 0:00:00;;user;France;female;Fuji Rock
daniel12;Daniel;Kowalski;Nowak;daniel12@mail.com;SeedPass1!;1990-12-16 0:00:00;;user;France;other;Tomorrowland,Coachella,Primavera Sound,Awakenings,Leeds Festival,Dekmantel,Pitchfork Paris,Outside Lands
laura13;Laura;Fernández;Ruiz;laura13@mail.com;SeedPass1!;1991-03-16 0:00:00;;user;Germany;female;Ultra Miami,Sziget,Roskilde,Electric Zoo
liam14;Liam;O'Connor;Murphy;liam14@mail.com;SeedPass1!;1991-06-14 0:00:00;;user;Germany;other;Primavera Sound,Rock in Rio
emma15;Emma;Schneider;Weber;emma15@mail.com;SeedPass1!;1991-09-12 0:00:00;;user;USA;other;Awakenings,Benicassim
lucas16;Lucas;Martínez;Gómez;lucas16@mail.com;SeedPass1!;1991-12-11 0:00:00;;user;Spain;female;Sonar,Creamfields,Reading Festival
jonas17;Jonas;Müller;Becker;jonas17@mail.com;SeedPass1!;1992-03-10 0:00:00;;user;UK;other;Mawazine,Benicassim,NOS Alive,Dekmantel,Outside Lands
lucas18;Lucas;Martínez;Gómez;lucas18@mail.com;SeedPass1!;1992-06-08 0:00:00;;user;France;other;Coachella,Lollapalooza Paris
ava19;Ava;Smith;Taylor;ava19@mail.com;SeedPass1!;1992-09-06 0:00:00;;user;Germany;male;Glastonbury,Primavera Sound,Exit Festival,Leeds Festival,Pitchfork Paris
emma20;Emma;Schneider;Weber;emma20@mail.com;SeedPass1!;1992-12-05 0:00:00;;user;Spain;female;Coachella,Exit Festival,Benicassim
mia21;Mia;Dubois;Lefevre;mia21@mail.com;SeedPass1!;1993-03-05 0:00:00;;user;Spain;male;Coachella,Creamfields
sofía22;sofía;Rossi;Bianchi;sofía22@mail.com;SeedPass1!;1993-06-03 0:00:00;;user;Italy;female;Coachella,Latitude
emma23;Emma;Schneider;Weber;emma23@mail.com;SeedPass1!;1993-09-01 0:00:00;;user;UK;other;Burning Man,Creamfields,Reading Festival,Mawazine,Summer Sonic,Benicassim,Dekmantel
sofía24;sofía;Rossi;Bianchi;sofía24@mail.com;SeedPass1!;1993-11-30 0:00:00;;user;UK;other;Open'er
jonas25;Jonas;Müller;Becker;jonas25@mail.com;SeedPass1!;1994-02-28 0:00:00;;user;Germany;female;Lollapalooza Paris,Open'er,Mawazine,Boomtown,Pitchfork Paris
noah26;Noah;Johnson;Miller;noah26@mail.com;SeedPass1!;1994-05-29 0:00:00;;user;Germany;female;Fuji Rock,Ultra Miami,Sziget,Sonar,Burning Man,Montreux Jazz
lucas27;Lucas;Martínez;Gómez;lucas27@mail.com;SeedPass1!;1994-08-27 0:00:00;;user;USA;other;
ava28;Ava;Smith;Taylor;ava28@mail.com;SeedPass1!;1994-11-25 0:00:00;;user;USA;other;Exit Festival,Creamfields,Dekmantel
ava29;Ava;Smith;Taylor;ava29@mail.com;SeedPass1!;1995-02-23 0:00:00;;user;USA;female;Exit Festival
noah30;Noah;Johnson;Miller;noah30@mail.com;SeedPass1!;1995-05-24 0:00:00;;user;Germany;other;Ultra Miami,Awakenings,Leeds Festival
